company_name	regorg	regidate	morregcno	priclasecam	change	public_date	status	cancel	guadetali	mortagee	priclasec	company_name	bbd_qyxx_id	bbd_unique_id
安徽东方帝维生物制品股份有限公司	亳州市经济开发区工商分局	2016/1/7	5.58061E+13	4200		2016/1/7	有效		[{"owner":"安徽东方帝维生物制品股份有限公司","name":"设备","details":"详见抵押物清单","remarks":}]	[{"morname":"安徽中财租赁有限责任公司","morno":"其他","idno":"913416000907877669"}]	[{"period":"自2016年01月06日至2019年01月06日","amount":"4200万元","kind":"融资租赁合同","range":"主合同项下的租赁本金、利息、逾期利息、罚息、违约金、损害赔偿金等实现债权的一切费用","remarks":}]	安徽东方帝维生物制品股份有限公司	768aa0c335ed49188d49276684f0e7ed	5ae3fa1378bc6ac4a216b997b4ec65fa
乐凯特科技铜陵有限公司	铜陵市经济开发区市场监督管理局	2015/1/12	5.6204E+13	3700		2015/1/12	有效		[{"owner":"乐凯特科技铜陵有限公司","name":"清洁机等","details":"17台，良好，乐凯特科技铜陵有限公司内","remarks":},{"owner":"乐凯特科技铜陵有限公司","name":"铣床","details":"3台，良好，乐凯特科技铜陵有限公司内","remarks":},{"owner":"乐凯特科技铜陵有限公司","name":"烤箱","details":"2台，良好，乐凯特科技铜陵有限公司内","remarks":}]	[{"morname":"中国建设银行股份有限公司铜陵开发区支行","morno":,"idno":"340700000011575"}]	[{"period":"自2015年01月12日至2019年03月05日","amount":"3700万元","kind":"借款合同","range":"详见最高额抵押合同","remarks":}]	乐凯特科技铜陵有限公司	9217b0f81e4e4469ac0157598841724d	d4c946d0242ccedeb86a6664a477a831
安徽华中天力铝业有限公司	濉溪县工商行政管理局市场规范局	2015/7/30	5.6104E+13	3500		2015/7/30	有效		[{"owner":"安徽华中天力铝业有限公司","name":"蒸馏水器","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"全油回收系统","details":"数量：2套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"叉车","details":"数量：11台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"石油产品蒸馏仪","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"灭火设备","details":"数量：1套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"数字式电子汽车衡","details":"数量：2套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"电子天平","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"分切机","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"不锈钢保温水箱","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"铸嘴加热炉","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"轧机油箱","details":"数量：2套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"轴承","details":"数量：48套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"微水仪","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"倾斜式铸轧机内部控制系统","details":"数量：5台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"电阻炉","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"轧机排风系统","details":"数量：3套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"制氮机","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"电热板","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"柴油空压件","details":"数量：7项 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"直视式电子吊秤","details":"数量：4台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"直读光谱仪","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"C型吊钩","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"排烟罩","details":"数量：4套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"低压柜","details":"数量：18台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"电动门","details":"数量：2套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"闪点仪","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"四重不可逆铝冷静扎控制系统","details":"数量：6台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"干燥箱","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"控制柜","details":"数量：5台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"实验室设备","details":"数量：1套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"电缆桥架","details":"数量：1200套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"厚箔剪切机","details":"数量：1套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"风机","details":"数量：16台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"水浴锅","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"循环水泵","details":"数量：0.7台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"光谱仪","details":"数量：1套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"石油产品运动粘度测定仪","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"轴承","details":"数量：52套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"变压器","details":"数量：6台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"分光光度计","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"水泵","details":"数量：13台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"水泵","details":"数量：4台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"C型板吊具","details":"数量：1套 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"蓄热式熔铝炉","details":"数量：1台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"铝带纵剪重卷机组","details":"数量：0.0444444台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"四重不可逆铝冷精轧机组","details":"数量：5台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":},{"owner":"安徽华中天力铝业有限公司","name":"卧式化工泵","details":"数量：5台 质量：良好 状况：良好 所在地：安徽省淮北市濉溪经济开发区玉兰西路八号","remarks":}]	[{"morname":"徽商银行股份有限公司淮北濉溪支行","morno":"其他","idno":"340621000013698"}]	[{"period":"自2015年04月21日至2018年04月21日","amount":"3500万元","kind":"借款合同","range":"本金、利息、违约金等相关费用","remarks":}]	安徽华中天力铝业有限公司	325c5fe187f84ebca445ed12ea94ef41	2e98e22177cd8ab68acfb04c39eb505f
安徽华中天力铝业有限公司	濉溪县工商行政管理局市场规范局	2015/4/29	5.6104E+13	3200		2015/4/29	有效		[{"owner":"华中天力铝业有限公司","name":"除尘设备","details":"1套，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"高压配电柜","details":"52台，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"冷精轧工作辊","details":"4支，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"四辊不可逆铝冷精轧机","details":"2套质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"冷精轧支撑辊","details":"4支，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"倾斜式铸轧机","details":"2套质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"蓄热式熔铝炉","details":"1台，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"四重四辊不可逆铝冷精轧机","details":"0.5台，1台，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"变压器及千变","details":"19台，质量优，状况良好，公司厂房内","remarks":},{"owner":"华中天力铝业有限公司","name":"低压配电柜","details":"2批一面，质量优，状况良好，公司厂房内","remarks":}]	[{"morname":"徽商银行淮北濉溪支行","morno":"其他","idno":"340621000013698"}]	[{"period":"自2015年04月29日至2018年04月29日","amount":"3200万元","kind":"借款合同","range":"本金、利息、违约金","remarks":}]	安徽华中天力铝业有限公司	325c5fe187f84ebca445ed12ea94ef41	b79e73718a6bf17028a0074608ecafd5
芜湖富春染织股份有限公司	芜湖市开发区市场监督管理局	2015/1/26	5.5309E+13	3001.7		2015/1/26	有效		[{"owner":"芜湖富春染织有限公司","name":"机器设备","details":"233台（套）","remarks":}]	[{"morname":"上海浦东发展银行芜湖分行","morno":"其他","idno":"340200000072452"}]	[{"period":"自2015年01月21日至2016年01月21日","amount":"3001.7万元","kind":"借款合同","range":"贷款本金及利息、违约金","remarks":}]	芜湖富春染织股份有限公司	4fdf2dd546a641a5a38126e002a40238	aa129e8ec53b40eae9d16624ba8e26f8
安徽浙泰不锈钢集团有限公司	怀远县市场监督管理局	2016/5/12	5.5201E+13	3000		2016/5/12	有效		[{"owner":"安徽浙泰不锈钢集团有限公司","name":"轴承","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"电缆","details":"9套 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"电动单梁起重机","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"普通车床","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"装载机","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"伞齿轮","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"起重机","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"变频器","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"滤波装置","details":"5套 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"轧管机","details":"3台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"板式补偿器","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"电力变压器","details":"7台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"空湿气化器","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"升降台","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"金属分析仪","details":"6","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"电弧炉系统","details":"6台 良好 良好 公司院内","remarks":},{"owner":"安徽不锈钢集团有限公司","name":"轨道基础","details":"1套 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"变频器","details":"22台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"管式水冷炉盖","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"声波探伤仪","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"电动平移门","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"液体泵","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"起重机","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"轧辊","details":"11台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢有限公司集团","name":"电动伸缩门","details":"3台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"变压器","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"冷轧管机","details":"2台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"变压器设备","details":"31套 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"格力空调","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"吊车","details":"7台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"加热炉","details":"41台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"轧钢退火炉","details":"1台 良好 良好 公司院内","remarks":},{"owner":"安徽浙泰不锈钢集团有限公司","name":"合力叉车","details":"2台 良好 良好 公司院内","remarks":}]	[{"morname":"怀远县中小企业融资担保有限公司","morno":"其他","idno":"91340321675852789C"}]	[{"period":"自2016年04月15日至2017年04月15日","amount":"3000万元","kind":"借款合同","range":"主债权","remarks":}]	安徽浙泰不锈钢集团有限公司	4d0c6e9baaf24a8b8dbf701d2e8e487c	984ae396020eec0352b2cb28f803f98f
安徽翰联纺织有限公司	利辛县市场规范管理局	2015/7/1	5.5804E+14	3000		2015/7/1	有效		[{"owner":"安徽瀚联纺织有限公司","name":"十二仓多仓混棉机等","details":"119台","remarks":}]	[{"morname":"徽商银行股份有限公司阜阳太和支行","morno":"其他","idno":"341222000006826"}]	[{"period":"自2015年07月01日至2016年07月01日","amount":"3000万元","kind":"借款合同","range":"主债权、利息、违约金、损害赔偿金及实现抵押权的费用","remarks":}]	安徽翰联纺织有限公司	4e4fa922096d4eef8ce2d3b9450b4dc8	99b401475981980d808405cdb07d6f49
安徽金玉米农业科技开发有限公司	萧县市场监督管理局	2015/9/24	5.5706E+13	3000		2015/9/24	有效		[{"owner":"安徽金玉米","name":"机械设备","details":"正常使用","remarks":}]	[{"morname":"萧县交通投资有限责任公司","morno":"其他","idno":"341322000037232"}]	[{"period":"自2015年09月23日至2016年08月30日","amount":"3000万元","kind":"借款合同","range":"主债权，利息，违约金。","remarks":}]	安徽金玉米农业科技开发有限公司	dbd19cb19a784b1fbf2f35d448de7c5a	b034c4129bc3794bf05ba9108b5f77c0
安徽紫金新材料科技股份有限公司	宿州市工商局直属分局	2015/11/18	5.5702E+14	3000		2015/11/18	有效		[{"owner":"宿州市紫金塑业有限公司","name":"机器设备","details":"6台/套，质量良好，状况正在使用，所在地宿州市经开区外环一路","remarks":}]	[{"morname":"宿州市新区建设投资集团有限公司","morno":"其他","idno":"341300000022119"}]	[{"period":"自2015年09月23日至2018年08月30日","amount":"3000万元","kind":"借款合同","range":"本金、利息、罚息、违约金等","remarks":}]	安徽紫金新材料科技股份有限公司	3e0084da811a4ab39ed921c9573d09c6	b78ef43506b17797ab2626f53f4ec4f8
安徽新能电源科技有限公司	界首市市场监督管理局	2016/7/8	2016048	3000		2016/7/8	有效		[{"owner":"安徽新能电源科技有限公司","name":"机器设备","details":"所在地：安徽新能电源科技有限公司","remarks":}]	[{"morname":"界首市工业投资有限公司","morno":"其他","idno":"91341282060817813T"}]	[{"period":"自2016年07月08日至2018年07月08日","amount":"3000万元","kind":"借款合同","range":"借款本金及利息、罚息违约金、损害赔偿金等","remarks":}]	安徽新能电源科技有限公司	8469436c669d4b4eb0e59fc8b4ec668c	4dfdf7b71fed94882bd48c0d6b27852e
